Topic,Count,Name,Representation,Representative_Docs
-1,24477,-1_dont_order_chat_se,"['dont', 'order', 'chat', 'se', 'even', 'customer', 'money', 'hai', 'care', 'also']","['deliver food also getting back delivery partner take almost 2 hours deliver food', 'pathetic services experience firstly delivery boy rude location still arguing come take order delivered place still app showing delivered havent received contacted customer care provided mail id file complain also saying order delivered cannot process refund mean hell gonna use zomato future scammers', 'please use app loot people charging high also cancel food within 5 mins gold membership still charge cancellation fee fee whole amount paid unfortunately force buy something dont want also take much time assign dilivery partner ordered many times within 1 km never diliver anything time please dont waste money zomato']"
0,29705,0_good_hahahaha_wbu_wa,"['good', 'hahahaha', 'wbu', 'wa', 'progressive', 'iwant', 'hehe', 'ig', 'mee', 'lol']","['good', 'good', 'good']"
1,8927,1_nice_wandarfool_ii_500,"['nice', 'wandarfool', 'ii', '500', 'ice', 'god', 'till', 'really', 'one', '']","['nice', 'nice', 'nice']"
2,3292,2_excellent_excellentcan_excellently_excellentbut,"['excellent', 'excellentcan', 'excellently', 'excellentbut', 'enough', '', '', '', '', '']","['excellent', 'excellent', 'excellent']"
3,3276,3_doen_beat_exactly_ads,"['doen', 'beat', 'exactly', 'ads', 'man', 'na', '', '', '', '']","['', 'exactly', 'beat']"
4,1986,4_service_good_server_provided,"['service', 'good', 'server', 'provided', 'today', '', '', '', '', '']","['good service', 'good service', 'good service']"
5,1922,5_best_itsss_theeee_woo,"['best', 'itsss', 'theeee', 'woo', 'ha', 'version', 'probably', 'yes', 'mast', 'ye']","['best', 'best', 'best']"
6,1829,6_cold_stale_didnt_worst,"['cold', 'stale', 'didnt', 'worst', 'delivered', 'spoiled', 'refund', 'ordered', 'deliver', 'food']","['fraud application always deliver cold food', 'worst experience food delivery system ordering food never getting food paying money food delivered experience two times first thought mistake later found purpose fully delivering even getting proper call delivery partner respond delivery come cant even call restaurant telling delivery partners problem doesnt even customer care want refund', 'worst app dont ever always provide stale food cold food']"
7,1640,7_app_good_fuddu_yarr,"['app', 'good', 'fuddu', 'yarr', 'pp', 'software', 'damn', 'driver', 'decent', 'works']","['good app', 'good app', 'good app']"
8,1616,8_great_actually_ok_,"['great', 'actually', 'ok', '', '', '', '', '', '', '']","['great', 'great', 'great']"
9,1559,9_service_good_yar_sir,"['service', 'good', 'yar', 'sir', 'test', '', '', '', '', '']","['good service', 'good service', 'good service']"
10,1500,10_awesome_masth_awesomeeeeeee_alll,"['awesome', 'masth', 'awesomeeeeeee', 'alll', 'oh', 'usual', 'yes', 'works', '', '']","['awesome', 'awesome', 'awesome']"
11,1484,11_ordered_refund_placed_cancelled,"['ordered', 'refund', 'placed', 'cancelled', 'minutes', 'didnt', 'received', 'hour', 'said', 'zomato']","['disappointed zomatos customer service placed order cancel within 3 minutes due urgent issue despite cancelling quickly food wasnt even prepared refused refund money spoke customer support simply repeated policy without real help fair regular customers like trust app expect flexibility genuine cases zomato learn treat loyal users better', 'im extremely disappointed zomatos delivery service recent experience absolutely disgusting food arrived cold spilled terrible condition whats even frustrating despite repeated complaints theres improvement service seems like theyre bothered customer satisfaction make matters worse trying contact customer care nightmare theres direct option reach', 'last 10 orders got delay cancelled 2 didnt even got refund zomato mistake']"
12,1419,12_nice_app_lovng_srevice,"['nice', 'app', 'lovng', 'srevice', 'nce', 'pp', 'bro', 'bat', 'nic', 'sir']","['nice app', 'nice app', 'nice app']"
13,1331,13_experience_good_verg_dealings,"['experience', 'good', 'verg', 'dealings', 'pleased', 'vey', 'ver', 'yes', 'okk', 'yeah']","['good experience', 'good experience', 'good experience']"
14,1121,14_amazing_wooh_ohh_others,"['amazing', 'wooh', 'ohh', 'others', '', '', '', '', '', '']","['amazing', 'amazing', 'amazing']"
15,1069,15_superb_epic_yrrr_briliant,"['superb', 'epic', 'yrrr', 'briliant', 'flawless', 'yaa', 'appreciation', 'savior', 'experince', 'usual']","['superb', 'superb', 'superb']"
